nft_url;; supply;; blockchain;; sale_type;; price;; method;; duration;; specific_buyer;; quantity;; *nft_name
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525174101021032449;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #205
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525351122393104385;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #368
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525269758532648961;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #292
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525362117509382145;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #378
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525291748765204481;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #312
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525154309811732481;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #187
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525131220067549185;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #166
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525083941067554817;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #123
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525074045462904833;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #114
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525205986858237953;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #234
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525225778067537921;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #252
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525279654137298945;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #301
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525061950834999297;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #103
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525308241439621121;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #329
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525374212137287681;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #389
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525298345834971137;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #320
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525373112625659905;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #388
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525072945951277057;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #113
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525019069881516033;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #64
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525064149858254849;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #105
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525109229834993665;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #146
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525096035695460353;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #134
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525166404439638017;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #198
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525121324462899201;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #157
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525251066834976769;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #275
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525238972207071233;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #264
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525005875741982721;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #52
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525260962439626753;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #284
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525093836672204801;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #132
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525119125439643649;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #155
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525196091253587969;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #225
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525164205416382465;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #196
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525258763416371201;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #282
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525340127276826625;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #358
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525048756695465985;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #91
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525224678555910145;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #251
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525082841555927041;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #122
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525297246323343361;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #319
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525214782951260161;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #242
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525092737160577025;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #131
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525059751811743745;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #101
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525152110788476929;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #185
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524955298207105025;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #6
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524990482579193857;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #38
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525247768300093441;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #272
